Participant Legal Business Name,ACO Legal or Name/Doing Business As,ACO Address,ACO Service Area,ACO Website Address,ACO Executive Name,ACO Executive Email,ACO Executive Phone,ACO Public Contact Name,ACO Public Contact Email,ACO Public Contact Phone
Edward C Bush Family Medicine,"Accountable Healthcare Alliance, PC","1305 Abbott Road, East Lansing, Michigan 48823",Michigan,www.medadvgrp.com/aha,Robert Jackson,rjacksonwwp@gmail.com,(313) 386-5505,Bronwen Jesswein,bjesswein@medadvgrp.com,(517) 999-8054
Downriver Heart & Vascular Specialists,"Accountable Healthcare Alliance, PC","1305 Abbott Road, East Lansing, Michigan 48823",Michigan,www.medadvgrp.com/aha,Robert Jackson,rjacksonwwp@gmail.com,(313) 386-5505,Bronwen Jesswein,bjesswein@medadvgrp.com,(517) 999-8054
Sita Medical Clinic PC,"Accountable Healthcare Alliance, PC","1305 Abbott Road, East Lansing, Michigan 48823",Michigan,www.medadvgrp.com/aha,Robert Jackson,rjacksonwwp@gmail.com,(313) 386-5505,Bronwen Jesswein,bjesswein@medadvgrp.com,(517) 999-8054
"DM Elem, PC","Accountable Healthcare Alliance, PC","1305 Abbott Road, East Lansing, Michigan 48823",Michigan,www.medadvgrp.com/aha,Robert Jackson,rjacksonwwp@gmail.com,(313) 386-5505,Bronwen Jesswein,bjesswein@medadvgrp.com,(517) 999-8054
"Dix-Eureka Medical Center, PC","Accountable Healthcare Alliance, PC","1305 Abbott Road, East Lansing, Michigan 48823",Michigan,www.medadvgrp.com/aha,Robert Jackson,rjacksonwwp@gmail.com,(313) 386-5505,Bronwen Jesswein,bjesswein@medadvgrp.com,(517) 999-8054
Huron Family Practice Center,"Accountable Healthcare Alliance, PC","1305 Abbott Road, East Lansing, Michigan 48823",Michigan,www.medadvgrp.com/aha,Robert Jackson,rjacksonwwp@gmail.com,(313) 386-5505,Bronwen Jesswein,bjesswein@medadvgrp.com,(517) 999-8054
Hamtramck Community Medical Center,"Accountable Healthcare Alliance, PC","1305 Abbott Road, East Lansing, Michigan 48823",Michigan,www.medadvgrp.com/aha,Robert Jackson,rjacksonwwp@gmail.com,(313) 386-5505,Bronwen Jesswein,bjesswein@medadvgrp.com,(517) 999-8054
"Western Wayne Family Physicians, Plc","Accountable Healthcare Alliance, PC","1305 Abbott Road, East Lansing, Michigan 48823",Michigan,www.medadvgrp.com/aha,Robert Jackson,rjacksonwwp@gmail.com,(313) 386-5505,Bronwen Jesswein,bjesswein@medadvgrp.com,(517) 999-8054
Sami M Baraka Md Pc,"Accountable Healthcare Alliance, PC","1305 Abbott Road, East Lansing, Michigan 48823",Michigan,www.medadvgrp.com/aha,Robert Jackson,rjacksonwwp@gmail.com,(313) 386-5505,Bronwen Jesswein,bjesswein@medadvgrp.com,(517) 999-8054
"Pritpal Sandhu, MD","Accountable Healthcare Alliance, PC","1305 Abbott Road, East Lansing, Michigan 48823",Michigan,www.medadvgrp.com/aha,Robert Jackson,rjacksonwwp@gmail.com,(313) 386-5505,Bronwen Jesswein,bjesswein@medadvgrp.com,(517) 999-8054
"Thomas S. Siegel, MD, PC","Accountable Healthcare Alliance, PC","1305 Abbott Road, East Lansing, Michigan 48823",Michigan,www.medadvgrp.com/aha,Robert Jackson,rjacksonwwp@gmail.com,(313) 386-5505,Bronwen Jesswein,bjesswein@medadvgrp.com,(517) 999-8054
"Metro Urgent Care & Family Med Center, PC","Accountable Healthcare Alliance, PC","1305 Abbott Road, East Lansing, Michigan 48823",Michigan,www.medadvgrp.com/aha,Robert Jackson,rjacksonwwp@gmail.com,(313) 386-5505,Bronwen Jesswein,bjesswein@medadvgrp.com,(517) 999-8054
"Engler and Kartha, MD, PLLC","Accountable Healthcare Alliance, PC","1305 Abbott Road, East Lansing, Michigan 48823",Michigan,www.medadvgrp.com/aha,Robert Jackson,rjacksonwwp@gmail.com,(313) 386-5505,Bronwen Jesswein,bjesswein@medadvgrp.com,(517) 999-8054
Parmod Jindal MD PC,"Accountable Healthcare Alliance, PC","1305 Abbott Road, East Lansing, Michigan 48823",Michigan,www.medadvgrp.com/aha,Robert Jackson,rjacksonwwp@gmail.com,(313) 386-5505,Bronwen Jesswein,bjesswein@medadvgrp.com,(517) 999-8054
"Mark Pensler, MD","Accountable Healthcare Alliance, PC","1305 Abbott Road, East Lansing, Michigan 48823",Michigan,www.medadvgrp.com/aha,Robert Jackson,rjacksonwwp@gmail.com,(313) 386-5505,Bronwen Jesswein,bjesswein@medadvgrp.com,(517) 999-8054
George C Hawrot PLLC,"Accountable Healthcare Alliance, PC","1305 Abbott Road, East Lansing, Michigan 48823",Michigan,www.medadvgrp.com/aha,Robert Jackson,rjacksonwwp@gmail.com,(313) 386-5505,Bronwen Jesswein,bjesswein@medadvgrp.com,(517) 999-8054
Aggarwal Ophthalmology,"Accountable Healthcare Alliance, PC","1305 Abbott Road, East Lansing, Michigan 48823",Michigan,www.medadvgrp.com/aha,Robert Jackson,rjacksonwwp@gmail.com,(313) 386-5505,Bronwen Jesswein,bjesswein@medadvgrp.com,(517) 999-8054
"Southgate Medical Center, PLLC","Accountable Healthcare Alliance, PC","1305 Abbott Road, East Lansing, Michigan 48823",Michigan,www.medadvgrp.com/aha,Robert Jackson,rjacksonwwp@gmail.com,(313) 386-5505,Bronwen Jesswein,bjesswein@medadvgrp.com,(517) 999-8054
Internal Medicine And Pediatric Clinic of New Albany,"Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
Stanford Medical Inc.,"Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
"Imaging Center at Gloster Creek Village, PLLC","Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
Joseph Frank Roberts,"Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
Sunset Cardiovascular Services,"Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
"Columbus Lung Physicians, PLLC","Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
"New Albany Ob/Gyn Clinic, PC","Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
"West Point Ob-Gyn, PA","Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
Mal S. Riddell Clinic,"Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
George M. Miller Jr. MD PC,"Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
Pan-American Sports Medicine Institute of Miami Inc,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Columbus Eye Clinic & Laser Surgery Center,"Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
"Nephrology & Hypertension Associates, LTD.","Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
Internal Medicine Associates of Oxford,"Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
Dr. Mary Anne Frank Tarsi M.D.,"Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
Surgery Consultants of Oxford,"Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
"Otolaryngology Associates, LTD","Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
Tom B Longest Jr. MD,"Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
"Gastroenterology Associates of Columbus, PA","Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
Mark Devin Shepherd,"Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
Mayo Eye Center,"Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
"Creekmore Clinic, PLLC","Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
"Columbus Endoscopy Center, Inc","Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
"Oxford Pathology, Inc.","Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
Ear Nose Throat Consultants of North Mississippi,"Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
University Sports Medicine,"Accountable Physicians of North Mississippi, Inc.","428 North Lamar Blvd., Suite 103, Oxford, Mississippi 38655",Mississippi,,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472,Katie Hawkins,katiehawkins@accountablecarems.com,(662) 234-7472
All M D Medical Center L L C,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Fidel Quintana MD,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Lawrence A Adjei Apmc,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Edwin Herrera, M.D., P.A.",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"T A Medical Group, Inc",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Mario Torrres M.D.,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Eugenio Menendez, D.O., P.A.",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Josefina Lozano, M.D., PLLC",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Miami Arrhythmia Center Inc,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Calixte Medical Center Inc,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Juan Jesus Salina, M.D. Corp.",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Manuel D. Gonzalez, MD PA",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Old National Primary Care Clininc,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Physicians Primary Care Group,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Alade ARNP, INC.",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Sahba Ferdowsi, D.O.",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
JAS Medical Management LLC,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Edwin Herrera, M.D.",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Maria De Los Angeles Echevarria Cardona MD,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Lumen Vera Colon MD,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Hector A Santos M.D.,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Jose L Fossas MD,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Jorge Barbeito MD,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Armando Troche Olivieri M.D.,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Carlos Heredia MD,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Tiffany Berkshire DO,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Hermann Mellon MD,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Manuel A. Fernandez, MD PA",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Stanley F. Stockhammer, Jr. D.O., P.A.",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Ferran & Ferran, MD PA",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Manuel Perez-Espinosa MD PA,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Richard E. Tannenbaum, M.D., P.A.",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"John R. Parnell M.D., P.A.",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"David L. Berndt, D.O., P.A.",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Francisco J. Mora, M.D., P.A.",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Renato Dominguez MD,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Ramon M Garciaseptien Pa,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"RAYPAR, Inc.",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Roberto Fernandez MD,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Oswaldo Sandoval MD,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Hernando Alvarez, M.D., P.A.",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Grove Med-Plus Inc.,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Vital Medical Center, Inc.",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Sunrise Medical Center, P.A.",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Santiago B. Montoya, M.D., P.A.",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Grisel Mac Williams, M.D., P.A.",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Pelayo Medical Center, Inc.",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
John Bancroft Hylton Pa,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
South Dade Primary Care,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Gilbert Leung, M.D., P.A.",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Salah Amer M.D., PA",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Royal Palm Health Center, Inc.",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Julian Marquez Md Pa,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Institute Of Health Services, Inc",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
"Valerio Toyos, M.D., P.A.",ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Araceli Yapor Pa,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
