ACO Doing Business As (DBA) or Legal Business Name (LBN),States Where Beneficiaries Reside ,Agreement Start Date,Track,Participate in Advance Payment Model , Total Assigned Beneficiaries ,Total Benchmark Expenditures,Total Expenditures,Total Benchmark Expenditures Minus Total Assigned Beneficiary Expenditures,Total Benchmark Minus Assigned Beneficiary Expenditures as % of Total Benchmark,"Generated Savings/Losses1,2","Earned Shared Savings Payments/Owe Losses3,4",Successfully Reported Quality5,Quality Score6,ACO-1,ACO-2,ACO-3,ACO-4,ACO-5,ACO-6,ACO-7,ACO-8^,ACO-9^,ACO-10^,ACO-11,ACO-12,ACO-13,ACO-14,ACO-15,ACO-16,ACO-17,ACO-18,ACO-19,ACO-20,ACO-21,DM Composite,ACO-22,ACO-23,ACO-24,ACO-25,ACO-26,ACO-27^,ACO-28,ACO-29,ACO-30,ACO-31,CAD Composite,ACO-32,ACO-33
"Arkansas Accountable Care, LLC",Arkansas,01/01/2014,Track1,No,6159,$38042648,$39184698,$-1142049,-3%,,-,Yes,P4R,79.67,93.54,91.63,84.38,49.71,75.76,69.11,14.48,0.97,1,92,57.89,29.36,61.95,45.69,54.8,78.21,23.41,48.7,48.62,36.69,15.44,77.78,46.7,60.64,64.41,81.12,12.81,60.62,44.94,88.76,75,77.56,85.81,73.28
Arkansas Health Network LLC,Arkansas,01/01/2014,Track1,No,10976,$100519504,$96614353,$3905151,3.88%,$3905151,"$1,913,524 ",Yes,P4R,78.06,92.26,92.44,83.16,51.94,72.48,70.19,16.21,0.94,1.24,91.67,7.16,30.95,40.04,48.6,58.39,96.13,6.67,50,57.18,23.27,23.17,73.41,50.98,57.8,86.59,75.31,18,54.98,36.69,76.98,82.09,44.66,50.37,67.11
Asian American Accountable Care Organization,New York,07/01/2012,Track1,No,12997,$111072169,$111609979,$-537811,-0.48%,,-,Yes,84.65%,76.13,89.95,89.13,78.1,60.46,74.53,69.58,16.37,0.84,0.75,46.15,99.13,43.42,68.69,64.91,81.22,98.04,46.22,56.71,48.94,85.04,45.27,80,71.09,83.27,94.18,78.05,10.18,80.18,76.79,81.63,78.95,79.12,93.43,75.19
Atlantic ACO,"New Jersey,  Pennsylvania",04/01/2012,Track1,No,70550,$711644016,$724567125,$-12923109,-1.82%,,-,Yes,87.68%,81.82,93.91,92.47,82.51,57.3,75.15,73.6,15.52,1.09,1.11,84.04,79.26,43.51,55.92,49.43,67.55,88.98,27.54,54.05,43.68,69.35,25.37,72.14,60.53,72.64,75.95,68.81,16.61,71.86,55.58,84.53,87.36,73.58,79.2,80.59
"AtlantiCare Health Solutions, Inc.",New Jersey,01/01/2013,Track1,No,18427,$163881424,$183388799,$-19507375,-11.9%,,-,Yes,85.65%,81.63,94.99,93.78,87.2,59.41,73.78,73.49,15.37,0.81,1.41,77.5,68.14,25.53,63.59,48.36,70.63,92.64,30.42,54.84,54.69,63.1,30.51,74.09,61.02,72.64,86.92,86.03,12.08,74.82,57.59,83.13,74.05,83.98,91.09,79.89
"Augusta Care Partners, LLC",Virginia,01/01/2014,Track1,No,6029,$43347656,$46142291,$-2794635,-6.45%,,-,Yes,P4R,82.16,92.37,91.59,85.54,54.3,74.79,74.83,14.97,0.59,1.04,50,54.46,73.32,42.45,35.33,60.47,88.41,6.34,45.45,62.42,46.69,19.17,60,51.5,72.5,70.17,83.96,30.55,68.6,52.37,86,82.22,55.45,60.55,79.82
Aurora Accountable Care Organization LLC,Wisconsin,07/01/2012,Track1,No,8279,$84151661,$84802916,$-651255,-0.77%,,-,Yes,89.96%,79.29,92.54,92.4,88.33,55.89,73.17,72.88,14.52,1.22,1.25,96.08,99.28,74.35,64.22,83.44,41.87,97.62,57.59,72.87,78.96,66.15,31.61,75.56,66.37,78.25,71.08,90.48,13.84,79.41,69.3,92.56,78.43,71.01,76.18,76.47
Balance ACO,"New Jersey,  New York",07/01/2012,Track1,No,8165,$146995248,$162017792,$-15022545,-10.22%,,-,Yes,79.34%,78.24,91.41,89.93,80.38,61.35,73.74,66.83,17.35,1.64,1.36,35.76,100,79.54,41.91,35.8,69.66,81.13,56.22,40.34,46.88,81.85,13.88,59.07,47.86,68.68,60.85,85.58,29.56,66.84,51.04,82.6,83.7,76.15,85.05,80.89
"Barnabas Health ACO-North, LLC",New Jersey,07/01/2012,Track1,No,12646,$143405605,$143925943,$-520338,-0.36%,,-,Yes,81.29%,79.51,93.02,93.06,82.1,59,71.88,68.96,14.88,1.71,1.07,67.14,77.22,27.52,39.96,32.03,64.63,89,20.73,50.59,55.89,70.25,23.96,64.76,49.65,70.49,87.5,82.02,25.26,67.72,54.85,86.12,93.41,62.99,72.97,63.27
BAROMA Health Partners,Florida,01/01/2013,Track1,No,6970,$143927872,$137701301,$6226571,4.33%,$6226571,"$2,324,700 ",Yes,76.19%,85.88,98.75,96.65,83.79,71.92,80.96,68.78,16.89,1.58,1.33,44.12,96.96,27.75,15.79,9.44,69.38,74.03,20.92,29.35,37.87,79.27,12.7,48.84,36.85,67.08,72.09,66.78,43.47,68.72,36.96,66.79,67.35,43.86,52.25,65.48
Baroma Health Partners,"Texas,  Louisiana",01/01/2014,Track1,No,5985,$60858782,$64154485,$-3295703,-5.42%,,-,Yes,P4R,76.31,89.35,89.31,82.3,60.11,75.27,73.39,15.35,0.98,0.93,55.32,90,2.83,14.83,18,51.99,54.98,10.03,15.55,20.27,22.65,5.27,41.18,34.08,30.43,59.23,39.94,48.68,45.71,26.28,53.85,32.66,24.89,32.47,42.79
Baroma Health Partners,Florida,01/01/2014,Track1,No,9664,$151374927,$148056151,$3318776,2.19%,,-,Yes,P4R,77.07,93.38,92.77,82.4,62.66,73.38,70.29,16.86,1.38,1.26,68.42,100,46.33,28.38,18.36,62.6,75.91,25.13,57.57,8.82,39.45,6.06,45.08,38.64,56.44,48.48,26.09,47.16,55.13,33.62,48.63,41.22,44.47,53.53,74.58
Bayview Physicians Group,"Virginia,  North Carolina",01/01/2014,Track1,No,19110,$152784870,$154255505,$-1470635,-0.96%,,-,Yes,P4R,81.69,92.95,91.84,81.51,59.32,75.25,72.02,15.04,0.78,1.63,87.5,72.04,8.63,53.9,57.28,58.12,93.34,70.97,64.87,69.97,43.8,31.59,80.03,63.01,72.67,89.2,88.59,10.47,73.13,62.37,91.58,94.53,67.55,75.8,76.07
"Beacon Health Partners, LLP",New York,07/01/2012,Track1,No,15474,$150687172,$154784874,$-4097701,-2.72%,,-,Yes,93.54%,81.12,93.97,93.03,85.87,59.08,76.44,70.9,15.31,0.96,0.85,79.73,99.03,76.77,85.23,72.27,95.54,94.62,83.67,79.26,78.25,97.35,44.19,75.85,66.55,82.83,89.98,92.65,12.88,81.13,71.96,91.17,91.41,83.27,86.23,85.91
Beth Israel Deaconess Hospital-Plymouth,Massachusetts,04/01/2012,Track1,No,6748,$73539988,$75550160,$-2010172,-2.73%,,-,Yes,91.80%,80.94,92.73,91.88,85.75,59.67,76.04,74.1,15.45,0.95,1.16,84.62,95.16,71.25,74,46.27,81.01,95.69,69.54,76.25,72.94,93.46,39.08,77.01,66.67,83.45,85.52,89.29,13.1,77.66,66.25,85.18,92.5,77.68,88.38,76.57
BHS Accountable Care LLC,Texas,07/01/2012,Track1,No,15022,$168802594,$162262381,$6540213,3.87%,$6540213,"$2,816,277 ",Yes,87.88%,72.77,90.94,90.44,85.08,65.84,74.25,71.33,14.66,0.99,1.16,78.12,88.17,34.48,54.92,56.51,75.21,92.08,30.37,40.92,53.28,79.38,27.7,67.77,61.67,66.03,82.23,75.17,24.44,65.88,52.19,82.22,89.22,62.65,72.09,71.6
Billings Clinic,"Wyoming,  Montana",01/01/2013,Track1,No,12635,$101137626,$105717921,$-4580295,-4.53%,,-,Yes,89.13%,79.97,91.13,90.08,84.32,57.11,72.57,72.66,14.16,1.05,0.57,90.77,54.26,90.8,95.77,88.32,95.15,99.51,88.75,72.51,72.82,43.31,38.93,83.94,64.72,77.86,85.89,97.78,8.27,71.78,56.2,89.05,92.31,74.7,76.53,86.32
"BJC HealthCare ACO, LLC","Missouri,  Illinois",07/01/2012,Track1,No,40622,$332755412,$327641051,$5114361,1.54%,,-,Yes,87.42%,80.29,93.35,92.32,84.41,60.1,75.18,72.23,14.65,1.03,1.18,85.16,14.2,36.54,67.56,71.5,65.71,91.67,40.63,72.79,74.34,39.82,29.74,74.58,62.83,78.9,77.22,84.17,12.47,81.49,67.22,87.32,86.93,70.91,82.57,70
"Broward Guardian, LLC",Florida,01/01/2014,Track1,No,5828,$95109198,$92768680,$2340518,2.46%,,-,Yes,P4R,84.82,94.46,93.43,83.95,61.19,75.32,69.03,15.82,2.28,1.37,52.63,100,8.32,21.31,4.3,38.6,88.17,9.95,7.04,10.43,31.53,0.44,13.07,5.88,8.28,6.97,5,81.05,8.33,1.95,3.91,,9.42,9.35,62.5
Buena Vida y Salud LLC,Texas,01/01/2014,Track1,No,5204,$56103954,$57101767,$-997812,-1.78%,,-,Yes,P4R,73.83,92.33,93.22,84.04,57.68,76.37,68.85,15.33,1.48,0.94,78.26,54.88,26.07,45.02,32.45,60.63,89.79,22.64,42.83,34.31,46.02,13.19,64.61,56.43,64.44,56.93,73.47,23.54,62.5,54.04,68.69,83.72,40.58,52.14,60.12
Cape Cod Health Network ACO,Massachusetts,01/01/2013,Track1,No,20534,$201027077,$201474486,$-447409,-0.22%,,-,Yes,89.85%,81.91,93,91.24,81.39,65.55,75.67,75.46,15.75,0.61,1.32,55.56,76.71,75.17,72.28,80.76,71.69,93.09,58.44,59.97,76.31,66.47,37.62,77.23,69.31,77.06,83.83,86.11,11.86,77.63,74.96,87.83,78.2,75.04,82.95,72.05
"Care Coordination Services, LLC","West Virginia,  Virginia",01/01/2014,Track1,No,18722,$143056588,$152356020,$-9299432,-6.5%,,-,Yes,P4R,85.62,93.31,92.52,83.27,55.9,77.18,71.82,15.09,1.31,1.33,89.09,77.41,8,46.44,32.05,81.31,92.43,20.56,44.57,52.98,61.69,27.64,76.55,66.67,64.66,78.39,84.55,14.86,65.58,59.38,90.53,83.14,72.35,78.43,83.56
"Caribbean Accountable Care, Inc.",Puerto Rico,01/01/2013,Track1,No,6895,$34595349,$31729094,$2866254,8.29%,$2866254,"$1,109,621 ",Yes,79.01%,79.95,95.22,94.94,75.72,63.83,75.08,56.35,15.72,0.93,1.23,11.68,96.59,61.35,19.75,11.3,81.56,96.47,35.85,52.26,49.52,91.7,34.31,64.33,58.09,75.05,93.37,93.6,25.49,77,63.66,69.76,86.96,68.85,75.42,82.93
"Carolinas ACO, LLC","North Carolina,  Virginia,  South Carolina",01/01/2014,Track1,No,8088,$78726878,$78624107,$102770,0.13%,,-,Yes,P4R,80.08,87.85,88.96,86.66,59.05,72.36,67.38,15.59,0.92,1.27,83.33,,3.9,55.19,25.16,12.18,100,0,6.49,58.28,1.95,0,0,0,0,6.17,0,100,0,0,0,,0.16,1.62,0
CaroMont ACO,"North Carolina,  South Carolina",01/01/2014,Track1,No,10206,$93699147,$88411725,$5287422,5.64%,$5287422,"$2,590,837 ",Yes,P4R,78.12,93.51,92.97,89.42,60.33,79.47,69.43,15.03,0.69,1.53,90.7,82,69.62,57.1,68.97,73.44,91.83,36.14,52.28,44.77,40.31,35.15,76.73,66.34,72.28,85.15,92.19,13.04,68.76,66.61,86.51,96.81,91.68,95.45,90.04
"Catholic Medical Partners-Accountable Care IPA, Inc.",New York,04/01/2012,Track1,No,25614,$197196601,$199387211,$-2190609,-1.11%,,-,Yes,91.09%,84.17,92.35,92.01,84.41,61.29,76.99,73.4,14.04,0.65,1.06,85.51,75.13,55.79,55.68,62.32,61.98,88.05,49.41,57.91,58.51,42.42,22.93,65.6,54.64,68.3,70.32,88.79,26.48,69.13,59.33,86.05,94.3,73.75,75.48,87.36
CCACO,"New York,  New Jersey",04/01/2012,Track1,No,11219,$106387253,$104891827,$1495426,1.41%,,-,Yes,86.58%,74.14,87.48,86.83,77.59,58.9,69.8,68.78,15.49,0.57,0.8,62.32,99.71,66,79.36,64.14,90.07,97.85,44.11,63.37,46.95,93.3,41.95,84.56,67.62,77.85,90.94,89.5,9.9,76.86,61.33,80.11,93.2,84.47,91.9,83.74
Cedars-Sinai Medical Care Foundation,California,01/01/2013,Track1,No,12644,$178761800,$199093392,$-20331592,-11.37%,,-,Yes,89.99%,83.39,93.5,94.23,84.53,60.78,74.52,70.5,15.32,0.78,1.01,75.65,95.91,52.81,51.58,56.74,72.74,94.58,36.52,42.9,61.13,80.7,26.28,70.31,57.85,67.24,83.62,86.36,22.49,67.95,60.5,91.52,90.36,76.12,82.34,78.2
Central Florida Physicians Trust,Florida,01/01/2013,Track1,Yes,5800,$55263957,$51328891,$3935066,7.12%,$3935066,"$1,751,289 ",Yes,90.83%,79.51,93.56,91.43,84.61,61.06,78.51,69.21,15.3,0.99,1.24,90,96.08,58.81,40.94,44.3,82.95,96.38,51.56,61.37,58.94,89.31,26.32,68.03,55.9,73.5,89.06,50.64,20.61,78.46,59.04,74.46,67.39,74.23,85.56,74
Central Jersey ACO LLC,New Jersey,01/01/2013,Track1,No,20014,$217791954,$216420977,$1370977,0.63%,,-,Yes,86.84%,79.61,93.27,91.56,83.84,56.73,74.62,71.89,15.26,1.12,1.19,80,86.14,31.64,51.71,42.44,75.77,88.76,38.39,49.83,47.91,78.74,22.88,67.76,53.03,67.59,83.02,85.29,25.09,68.97,60.22,88.26,94.9,73.69,82.26,72.34
Central Maine ACO,Maine,07/01/2012,Track1,No,13408,$113920970,$115861999,$-1941029,-1.7%,,-,Yes,93.00%,87.09,94.25,93.59,84.22,62.2,75.32,74.67,15.13,0.95,1.11,77.54,98.65,80.96,90.28,86.36,87.29,97.32,81.4,77.97,80,81.72,31.83,73.87,64.61,76.25,81.24,91.72,13.19,72.09,70.39,96.84,100,92.21,93.97,93.71
Central Missouri Medical Network,Missouri,01/01/2014,Track1,No,5559,$44586416,$48453724,$-3867308,-8.67%,,-,Yes,P4R,85.77,92.38,91.52,83.06,52.79,72.96,70.47,14.93,0.69,1.02,75,86.03,5.8,37.35,40.23,61.96,78.18,12.61,53.31,65.13,44.77,20.9,76.84,49.8,68.44,71.31,90.24,15.31,60.42,48.8,85.46,87.88,58.42,63.14,80.74
"Central US ACO, LLC","Missouri,  Texas,  Colorado,  Arkansas",01/01/2014,Track1,No,5164,$53501204,$55033826,$-1532622,-2.86%,,-,Yes,P4R,80.87,90.42,90.3,82.8,56.99,76.28,67.91,15.17,1.01,1.01,75.86,53.06,10.11,47.53,17.1,22.6,38.54,15.99,15.38,44.37,29.64,17.44,56.4,41.86,73.84,73.26,74.63,30.81,28.97,45.45,80.99,77.78,60.16,65.35,72.13
"CHA ACO, LLC","Michigan,  Indiana",01/01/2014,Track1,No,13888,$107380439,$107634266,$-253827,-0.24%,,-,Yes,P4R,83.99,92.68,91.54,87.61,54.05,74.58,74.26,14.59,1.17,1.34,81.82,65.13,16.27,43.5,30.71,39.69,89.19,0.95,48.46,62.75,36.71,23.19,71.01,54.59,69.81,78.26,86.76,15.46,75.06,53.55,81.52,84.55,54.03,61.58,76.41
"Chautauqua Region Associated Medical Partners, LLC","New York,  Pennsylvania",07/01/2012,Track1,No,6816,$61704178,$57734542,$3969635,6.43%,$3969635,"$1,794,027 ",Yes,92.23%,80.87,91.25,91.38,83.31,57.26,74.6,72.29,15.05,0.55,0.7,85.71,78.35,44.79,71.53,86.13,81.3,95.33,52.57,80.83,79.27,77.45,22.13,72.55,58.4,76.04,76.04,69.05,16.33,75.36,60.76,86.62,71.6,79.01,89.5,73.58
"Chicago Health System ACO, LLC",Illinois,07/01/2012,Track1,No,8130,$88924989,$90417632,$-1492643,-1.68%,,-,Yes,87.96%,79.23,93.96,92.54,87.29,60.47,75.79,71.2,15.1,1.45,1.36,73,97.41,77.2,63.53,65,78.12,95.86,44.73,58.15,66.37,66.2,31.17,69.7,58.14,75.66,83.01,90.76,16.08,72.09,59.26,88.02,96,68.1,75.05,82.64
"Christie Clinic Physician Services, LLC",Illinois,01/01/2013,Track1,No,5921,$49064839,$51458053,$-2393214,-4.88%,,-,Yes,76.94%,77.02,90.98,89.48,83.08,49.86,69.99,73.59,15.11,1.05,1.72,96.67,93.33,5.45,50.66,45.3,56.17,91.63,11.09,48.68,55.56,37.3,23.99,77.52,59.56,55.87,85.23,89.64,13.39,62.02,54.67,88.29,90.32,74.77,79.92,83.46
"Circle Health Alliance, LLC","Massachusetts,  New Hampshire",07/01/2012,Track1,No,10910,$118391671,$110892948,$7498724,6.33%,$7498724,"$3,240,503 ",Yes,88.19%,81.61,91.86,92.05,82.57,63.43,73.83,73.65,16.72,1.47,1.54,84.38,94.01,65.84,60.98,68.02,74.37,94.37,52.88,63.51,76.4,44.86,35.06,71.06,67.76,81.88,78.12,96.61,15.53,78.95,74,88.68,88.89,81.7,86.95,84.31
Cleveland Quality Healthnet,Ohio,01/01/2014,Track1,No,6184,$112190672,$110766423,$1424249,1.27%,,-,Yes,P4R,81.46,92.23,92.14,84.58,56.71,70.06,71.47,16.32,2.02,1.32,77.42,100,8.06,63.83,47.76,48.22,98.93,49.45,45.81,60.69,54.99,4.11,31.13,32.02,42.75,44.19,54.92,64.4,27.46,37.71,55.82,75.97,64.68,74.91,76.94
"Clinical Partners of Colorado Springs, LLC",Colorado,01/01/2014,Track1,No,6545,$41808650,$45274094,$-3465444,-8.29%,,-,Yes,P4R,79.72,91.79,90.61,82.27,60.49,77.16,71.21,14.43,0.37,1.04,100,96.97,45.54,48.05,67.37,88.03,96.74,30.88,47.87,52.38,84.35,28.39,75.19,50.13,83.63,85.17,94.94,11.99,78.35,40,88.89,93.33,66.95,70.04,80.82
"Coastal Carolina Quality Care, Inc.",North Carolina,04/01/2012,Track1,Yes,11306,$96335641,$94918374,$1417267,1.47%,,-,Yes,91.07%,81.26,93.77,94.41,87.07,65.27,71.6,72.94,14.39,0.62,1.05,100,91.86,78.41,87.8,88.47,77.11,87.01,78.2,88.69,89.46,36.39,39.18,82.62,68.52,77.38,86.39,87.27,8.44,72.62,69.9,88.82,94.74,81.67,85.95,87.3
"Coastal Medical, Inc.","Massachusetts,  Rhode Island",07/01/2012,Track1,Yes,10833,$98750155,$91587812,$7162344,7.25%,$7162344,"$3,319,187 ",Yes,94.58%,83.98,92.77,92.17,81.56,65.09,75.11,74.12,14.98,0.77,1.22,100,99.33,90.49,92.57,92.14,92.6,98.36,84.07,76.63,79.58,76.12,44.7,79.93,73.08,83.85,88.58,99.45,9.62,81.43,73.81,91.86,96.55,86.45,87.52,94.79
Collaborative Care of Florida LLC,Florida,01/01/2013,Track1,No,12622,$102369864,$97030168,$5339696,5.22%,$5339696,"$2,421,969 ",Yes,92.57%,80.2,93.37,93.16,87.85,61.07,76.96,72.98,15.69,1.4,1.15,96.36,93.91,53.2,78.78,69.87,75.61,80.94,58.57,68.46,65.68,39.36,30.95,74.21,65.56,73.21,81.86,86.45,12.81,70.65,73.68,85.96,100,72.25,74.41,90.48
Collaborative Health ACO,Massachusetts,01/01/2013,Track1,No,8830,$130185968,$116283132,$13902836,10.68%,$13902836,"$6,287,775 ",Yes,92.30%,84.84,94.27,92.71,86.86,68.39,77.58,72.64,15.4,1.22,1.11,84.06,82.06,59.39,58.62,55.96,67.82,91.27,52.77,66.85,74.26,49.4,33.22,76.1,69.42,81.55,72.23,92.72,12.91,78.63,77.58,94.94,72.16,76.32,84.52,77
Colonial ACO LLC,South Carolina,01/01/2014,Track1,No,7771,$71297801,$68258358,$3039443,4.26%,$3039443,"$1,489,327 ",Yes,P4R,74.49,91.19,91.17,85.05,56.62,77.07,70.76,15.14,0.82,0.96,74.07,100,60.15,48.05,24.73,94.98,96.28,50.42,32.45,56.73,87.16,2.76,54.23,47.06,67.46,14.52,68.42,22.61,69.76,53.78,76.24,88.1,57.49,68.59,58.94
"Colorado Accountable Care, LLC",Colorado,01/01/2013,Track1,No,13743,$117755771,$126987144,$-9231373,-7.84%,,-,Yes,91.73%,72.83,90.84,90.6,82.72,57.84,78.8,72.38,14.11,0.63,1.01,81.02,83.37,67.63,65.44,70.72,91.67,95.63,47.13,39.86,54.7,70.02,32.89,73.22,63.14,71.9,86.61,88.38,17.02,70.9,58.24,89.08,95.24,64.97,68.58,85.04
Commonwealth Primary Care ACO ,Arizona,01/01/2013,Track1,No,15697,$153495460,$151301934,$2193526,1.43%,,-,Yes,85.32%,75.03,89.86,88.24,83.71,58.4,73.25,71.55,14.57,0.54,0.86,68.57,94.93,32.71,54.19,23.31,85.9,90.88,56.7,40.87,58.91,96.37,18.84,71.48,49.12,71.13,69.89,84,21.77,68.24,48.36,80.99,89.87,71.25,78.89,77.43
"Community Health Accountable Care, LLC","Vermont,  New Hampshire",01/01/2014,Track1,No,5948,$47069176,$45957103,$1112073,2.36%,,-,Yes,P4R,77.93,91.39,90.91,81.36,62.51,74.7,74.18,14.58,1.24,1.09,,98.12,8.72,67.98,83.97,63.47,76.84,51.49,64.71,65.71,37.93,15.63,57.81,45.31,71.88,63.28,87.5,27.34,73.39,51.38,86.24,100,60,69.57,75.47
Community Health Network,"Minnesota,  Wisconsin",01/01/2013,Track1,No,15021,$147505479,$142474181,$5031298,3.41%,$5031298,"$2,288,690 ",Yes,92.83%,84.08,94.27,93.81,80.64,60.91,77.5,71.93,13.88,0.92,1.07,85.31,91.31,36.35,67.18,87.73,59.9,91.31,40.12,59.55,64.47,68.61,39.7,74.71,69.01,86.93,83.08,84.11,13.4,82.4,57.09,89.22,87.14,71.06,87.29,60.41
"Copeland - Beajow Medical Institute, Chtd DBA Internal Medicine Associates",Nevada,01/01/2013,Track1,No,5630,$69549428,$65979712,$3569716,5.13%,$3569716,"$1,243,739 ",Yes,71.10%,73.22,90.95,89.68,82.71,59.24,73.76,70.13,15.56,0.48,0.96,76.47,14.34,34.72,17.82,9.42,29.68,50.58,16.55,40.58,64.42,50.64,5.45,72.12,50.31,22.64,44.44,24.4,21.92,30.73,37.27,23.6,,44.67,55.33,56.61
"Cornerstone Health Care, PA",North Carolina,07/01/2012,Track1,No,16895,$135236150,$130301756,$4934394,3.65%,$4934394,"$2,269,705 ",Yes,93.87%,84.37,93.51,93.77,88.3,61.58,79.61,73.07,14.69,0.9,1.01,97.47,96.81,76.2,64.03,75.94,77.59,95.74,67.86,60,81.54,52.38,29.16,77.1,58.15,68.04,87.64,92.2,13.51,68.74,61.62,88.64,90.48,68.74,74.48,79.5
"Covenant ACO, Inc.","New Mexico,  Texas",01/01/2014,Track1,No,13455,$152916069,$147726386,$5189683,3.39%,$5189683,"$2,542,945 ",Yes,P4R,83.87,92.41,91.67,85.85,54.16,74.09,68.68,14.46,0.6,0.85,73.44,100,18.49,43.57,40.52,61.44,79.02,32.51,47.44,60.67,67.84,19.58,60.14,46.03,59.08,82.54,85.31,29.24,64.32,42.13,85.43,85.16,69.04,80.61,66.36
"Crystal Run Healthcare ACO, LLC","New York,  Pennsylvania",04/01/2012,Track1,No,12201,$138881297,$142233699,$-3352402,-2.41%,,-,Yes,87.19%,77.87,93.22,91.49,83.86,59.08,72.16,72.42,16.87,0.81,1.2,92.59,45.77,55.41,71.76,62.3,56.72,88.01,59.85,64.81,71.52,61.57,23.78,75.69,68.75,78.99,53.99,92.76,15.28,74.66,67.38,91.09,88.37,90.66,97.79,74.07
"Cumberland Center for Healthcare Innovation, LLC",Tennessee,07/01/2012,Track1,Yes,12692,$132151674,$125147624,$7004050,5.3%,$7004050,"$2,994,177 ",Yes,87.24%,85.11,93.71,91.94,83.04,56.1,73.85,68.7,15.52,1.5,1.23,75.68,92,48.02,66.32,58.82,75.5,90.49,46.75,56.3,63.44,86.74,23.68,76.66,62.58,72.35,66.23,81.79,12.71,69.77,63.01,89.96,89.68,68.33,74.07,80.52
"Deaconess Care Integration, LLC","Indiana,  Kentucky,  Illinois",07/01/2012,Track1,No,18751,$170836749,$181846004,$-11009255,-6.44%,,-,Yes,85.49%,83.16,91.3,91.4,85.97,58.68,72.36,69.52,15.44,1.38,1.47,98.61,76.66,81.27,74.15,83.41,47.45,86.41,61.2,59.37,71.05,37.83,32.12,76.64,56.69,74.45,86.37,85.53,11.92,69.6,61.63,91.13,92.81,75.6,80.65,79.57
Delaware Valley ACO,"Pennsylvania,  New Jersey",01/01/2014,Track1,No,33310,$394791891,$381389306,$13402585,3.39%,$13402585,"$6,567,267 ",Yes,P4R,79.28,93.77,92.44,82.41,60.93,76.32,71.63,15.58,1.23,1.59,82.43,46.36,27.81,36.18,34.59,61.66,78.6,7.01,41.46,44.06,58.47,14.88,44.64,36.85,72.49,72.66,81.52,48.62,71.67,34.3,83.72,94.39,39.01,44.53,72.34
Delmarva Health Network,"Delaware,  Maryland",01/01/2014,Track1,No,12952,$103515147,$102780507,$734640,0.71%,,-,Yes,P4R,81.65,93.7,93.09,79.21,60.19,75.67,75.1,14.74,0.57,1.57,92.86,91.04,38.07,67.12,62.85,22.65,93.39,19.58,53.94,72.78,44.98,36.66,79.02,69.04,76.17,87.98,69.78,9.37,75.85,70.92,78.3,71.64,75.1,83.94,78.21
Diagnostic Clinic Walgreens Well Network,Florida,01/01/2013,Track1,No,7990,$78310094,$80605372,$-2295278,-2.93%,,-,Yes,89.55%,80.82,93.14,92.03,85.95,66.84,79.32,72.71,15.05,1.02,1.09,82.35,100,26.6,50.25,50.33,72.58,66.94,43.13,31.92,75.49,44.35,38.89,74.07,62.35,71.6,80.86,86.78,22.84,79.54,57.71,91.04,60.98,78.85,84.19,74.29
Doctors Connected,Virginia,01/01/2013,Track1,No,49057,$415106424,$420894202,$-5787778,-1.39%,,-,Yes,79.84%,78.3,92.98,91.59,85.46,53.25,71.18,72.57,15.11,0.74,1.27,93.03,78.96,24.96,66.9,82.13,66.01,92.61,20.43,67.5,66.56,29.4,26.18,71.75,56.69,70.62,80.79,90.48,18.15,66.02,55,32.73,96.27,86.93,91.61,84.19
"Duke Connected Care, LLC",North Carolina,01/01/2014,Track1,No,44256,$382550497,$388877708,$-6327212,-1.65%,,-,Yes,P4R,80.9,94.47,93.41,85.91,58.08,71.64,71.65,14.6,1.1,1.46,87.91,6.61,83.02,77.7,77.65,53.19,97.41,22.3,70.59,56.84,40.86,27.14,75.66,54.44,68.91,85.53,94.2,13.82,65.83,61.92,93.46,88.49,68.97,72.54,83.27
Emerald Physicians,Massachusetts,01/01/2014,Track1,No,8303,$78178517,$77778627,$399891,0.51%,,-,Yes,P4R,80.7,91.9,91.6,83.62,65.51,74,74.4,14.45,0.62,1.29,100,97.94,62.26,58.31,70.21,92.74,97.21,37.47,83.56,80.37,62.7,41.67,80.79,71.06,73.84,90.05,98.76,7.87,74.94,75.99,86.95,81.4,92.6,97.43,82.54
Essentia Health,"Wisconsin,  Minnesota,  North Dakota",07/01/2012,Track1,No,31798,$282500096,$292464516,$-9964420,-3.53%,,-,Yes,88.34%,79.14,91.7,90.82,83.38,58.74,74.29,72.25,14.66,0.96,0.94,83.84,83.33,95.55,55.68,84.75,69.85,97.54,3.48,70.81,78.63,75.35,41.47,73.08,68.56,89.3,83.78,96.55,13.11,81.59,67.04,88.04,94.24,80.54,83.48,90.53
"Essential Care Partners, LLC",Texas,07/01/2012,Track1,No,14954,$125653205,$121996487,$3656719,2.91%,$3656719,"$1,528,623 ",Yes,85.31%,70.01,85.75,86.64,82.18,54.37,73.52,73.18,14.21,1.24,1.09,,80.91,55.91,55.64,52.73,77.24,92.24,58.75,39.93,52.75,53.89,18.68,55.35,60.27,63.16,82.17,87.91,25.3,64.73,63.48,87.91,89.47,71.12,80.09,83.23
